crop_type,sensor_nitrogen,sensor_phosphorus,sensor_potassium,soil_pH,soil_moisture_percent,soil_electrical_conductivity_us_cm,soil_temperature_celsius,fertilizer_urea_kg_per_ha,fertilizer_dap_kg_per_ha,fertilizer_map_kg_per_ha,fertilizer_mop_kg_per_ha,fertilizer_sop_kg_per_ha,fertilizer_can_kg_per_ha,fertilizer_ssp_kg_per_ha,fertilizer_ammonium_sulfate_kg_per_ha
Wheat,118.38,61.63,267.14,5.99,25.89,1972.2,23.88,80.87,20.0,10.0,30.0,10.0,78.69,30.0,58.83
Groundnut,323.15,51.47,304.96,7.2,20.71,1648.6,25.18,50.0,20.0,10.0,30.0,10.0,20.0,38.15,20.0
Soybean,140.09,68.11,259.48,6.45,35.28,189.24,23.83,50.0,20.0,10.0,30.0,10.0,39.34,30.0,35.37
Sorghum,187.1,67.25,140.5,6.62,16.29,1125.7,26.62,50.0,20.0,10.0,30.0,10.0,24.67,30.0,25.24
Barley,102.57,47.32,203.89,6.54,10.0,1221.44,16.75,131.33,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Groundnut,212.14,23.27,396.3,7.4,13.42,1440.59,35.0,50.0,64.8,28.24,30.0,10.0,20.0,150.0,20.0
Wheat,254.03,49.01,209.41,6.75,21.99,1781.5,22.3,50.0,20.0,10.0,30.0,10.0,34.92,30.0,38.41
Soybean,121.46,10.32,288.82,5.84,23.19,1104.98,26.45,63.73,85.78,37.92,30.0,10.0,48.36,150.0,34.17
Soybean,81.0,25.02,111.7,5.94,12.25,179.98,22.2,142.01,98.91,47.88,54.79,30.55,100.0,150.0,100.0
Soybean,196.49,11.12,132.28,6.76,10.0,1678.22,19.08,50.0,77.67,36.87,30.0,10.0,20.0,150.0,20.0
Rice,224.38,61.04,399.0,6.73,39.9,526.44,27.76,65.33,20.0,10.0,30.0,10.0,43.23,30.0,42.43
Soybean,187.17,27.67,131.98,7.54,13.41,1111.94,29.62,50.0,48.95,19.83,30.0,12.29,20.0,150.0,20.0
Barley,263.21,55.83,250.01,7.22,22.27,1392.27,21.19,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,157.5,47.02,394.36,6.87,16.01,1304.61,25.4,50.0,20.0,10.0,30.0,10.0,21.51,32.65,20.0
Soybean,107.88,50.63,307.35,6.08,21.2,1446.29,22.26,50.0,20.0,10.0,30.0,10.0,43.38,30.0,46.24
Barley,317.39,40.43,236.71,8.0,26.66,957.64,16.64,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,184.85,70.0,289.64,7.84,17.57,504.9,18.28,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Cotton,349.0,30.42,399.0,7.95,18.21,977.98,22.01,50.0,37.75,14.47,30.0,10.0,20.0,137.47,20.0
Wheat,132.43,39.77,349.76,6.47,39.9,1471.59,23.57,114.21,20.0,10.0,30.0,10.0,92.71,30.0,87.41
Cotton,289.47,66.47,121.72,6.71,39.9,256.77,33.27,59.42,20.0,10.0,100.0,48.49,59.78,30.0,60.56
Rice,190.01,49.81,188.54,6.7,10.9,1648.17,23.8,73.41,20.0,10.0,30.0,10.0,73.79,30.0,58.76
Groundnut,104.62,56.08,132.61,7.46,14.48,446.02,30.9,50.0,20.0,10.0,100.0,50.0,21.2,49.03,20.0
Soybean,214.85,16.36,232.94,6.12,16.99,1294.65,24.62,50.0,85.58,37.21,30.0,10.0,20.0,150.0,20.0
Sorghum,164.78,23.95,222.16,7.35,10.44,1283.64,28.18,52.79,32.06,14.79,30.0,10.0,46.77,149.63,51.9
Groundnut,160.95,41.02,219.06,6.93,10.0,1339.03,23.51,50.0,39.57,18.21,40.93,14.25,20.0,150.0,20.0
Wheat,201.17,50.16,143.73,6.56,24.87,1902.31,19.53,50.0,20.0,10.0,30.0,10.0,42.35,30.0,47.03
Sorghum,191.91,10.85,316.81,6.01,12.19,198.22,31.4,59.81,94.62,48.19,30.0,10.0,43.93,150.0,54.13
Maize,190.15,15.79,111.85,6.04,24.44,1492.51,19.46,151.79,74.71,33.46,38.08,18.64,100.0,150.0,100.0
Sorghum,93.96,51.96,300.48,6.82,36.7,1670.99,34.84,69.04,20.0,10.0,30.0,10.0,70.74,30.0,64.25
Maize,315.26,68.82,266.17,7.33,33.43,702.67,25.82,81.61,20.0,10.0,30.0,10.0,88.91,30.0,79.72
Soybean,100.9,25.92,100.91,5.61,20.23,1369.6,28.81,53.72,53.62,25.4,46.23,17.38,62.1,150.0,49.46
Wheat,177.4,30.3,211.86,7.07,30.21,1090.34,27.75,156.6,27.31,10.0,30.0,10.0,100.0,135.42,100.0
Cotton,221.79,59.2,207.74,6.79,12.18,1463.51,28.6,62.73,20.0,10.0,30.0,10.0,57.28,30.0,59.35
Barley,126.59,33.27,100.0,5.5,13.99,1078.83,18.84,141.26,31.1,10.0,36.3,19.78,100.0,109.86,100.0
Cotton,349.0,55.31,399.0,7.65,15.07,905.5,21.18,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,129.88,36.53,149.42,6.98,10.0,1420.77,21.64,200.0,51.46,25.69,47.14,16.86,100.0,150.0,100.0
Maize,172.64,29.24,209.74,6.5,10.0,1316.32,20.44,200.0,80.08,32.76,30.0,10.0,100.0,150.0,100.0
Cotton,88.37,60.93,232.39,7.08,10.0,878.01,23.6,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Barley,333.34,59.77,359.52,5.86,26.35,599.91,20.46,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,115.85,59.25,107.93,7.19,20.56,1768.15,34.85,50.0,20.0,10.0,55.13,22.42,20.0,30.0,20.0
Cotton,302.07,17.95,358.6,7.37,19.69,1251.88,26.68,50.0,41.88,18.23,30.0,10.0,21.13,150.0,22.92
Barley,168.87,14.71,233.8,6.17,27.44,1335.38,18.17,59.07,53.38,22.06,30.0,10.0,52.48,150.0,48.3
Cotton,213.32,21.36,135.83,6.18,14.6,1345.87,33.53,97.1,56.15,28.49,48.51,25.97,67.26,150.0,71.38
Soybean,91.28,36.72,281.06,5.83,16.37,1544.55,19.23,50.0,21.67,10.0,30.0,10.0,40.16,115.4,40.56
Sorghum,114.34,61.88,173.04,6.91,39.9,1266.75,35.0,96.84,20.0,10.0,30.0,10.0,79.72,30.0,70.43
Cotton,184.31,37.01,168.09,7.31,21.17,1776.67,23.06,58.23,20.0,10.0,30.0,10.0,51.19,50.9,43.86
Barley,148.26,50.83,238.73,6.11,10.0,286.95,19.44,143.64,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Groundnut,237.41,30.96,221.25,5.98,10.0,1001.24,26.55,50.0,81.45,43.18,53.03,24.19,20.0,150.0,20.0
Groundnut,86.94,21.14,227.1,6.51,11.94,124.16,29.63,50.0,100.0,50.0,65.65,35.42,42.92,150.0,44.25
Sorghum,183.26,46.61,399.0,6.66,35.75,274.55,34.65,50.0,20.0,10.0,30.0,10.0,53.59,30.0,46.52
Sorghum,214.03,50.1,118.42,6.58,10.0,568.69,35.0,50.0,20.0,10.0,30.0,13.01,38.39,30.0,23.06
Soybean,188.29,54.79,281.59,7.22,10.0,1524.14,30.35,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,140.65,54.76,130.73,6.77,11.31,417.08,16.93,178.34,20.0,10.0,37.16,13.06,100.0,30.0,100.0
Barley,241.83,46.13,106.88,6.35,23.28,383.1,19.76,50.0,20.0,10.0,35.13,16.44,20.23,30.0,20.0
Rice,236.83,62.91,303.95,6.89,16.3,1308.74,30.86,50.0,20.0,10.0,30.0,10.0,47.33,30.0,30.78
Wheat,295.97,47.41,317.34,6.99,39.21,1586.91,17.56,50.0,20.0,10.0,30.0,10.0,25.57,30.0,28.81
Wheat,325.54,56.81,102.11,5.9,13.41,349.56,18.89,50.8,20.0,10.0,52.65,23.29,34.75,30.0,44.38
Rice,81.0,12.38,297.54,6.04,24.93,881.08,29.12,183.41,100.0,47.22,30.0,10.0,100.0,150.0,100.0
Wheat,119.14,53.51,157.36,6.38,23.11,1899.37,29.34,76.32,20.0,10.0,30.0,10.0,70.58,30.0,57.68
Maize,158.73,11.92,142.49,6.23,10.78,1896.83,31.35,141.32,85.62,38.73,30.0,10.55,100.0,150.0,100.0
Wheat,349.0,24.29,230.86,6.75,23.29,1537.83,22.19,50.0,20.0,10.0,30.0,10.0,20.0,85.24,22.33
Groundnut,171.66,30.46,102.42,6.55,11.43,454.77,23.94,50.0,98.3,42.21,100.0,50.0,20.0,150.0,20.0
Cotton,106.1,42.13,167.14,7.33,10.0,1063.4,25.18,195.95,20.0,10.0,54.38,26.8,100.0,52.14,100.0
Sorghum,349.0,52.58,333.96,6.08,39.9,912.23,29.28,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,342.1,70.0,399.0,7.48,20.2,583.21,22.67,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Maize,282.18,49.07,286.28,6.4,31.72,995.45,29.79,99.57,20.92,10.0,30.0,10.0,93.64,98.99,83.77
Cotton,320.9,44.84,249.07,6.82,17.15,677.5,31.38,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,155.58,15.96,179.06,7.16,15.6,134.2,17.29,137.28,91.05,44.34,30.0,10.0,100.0,150.0,100.0
Rice,93.84,47.0,209.77,5.96,12.42,123.57,27.69,200.0,20.0,10.0,30.0,10.0,100.0,57.47,100.0
Rice,201.75,62.75,285.37,6.69,10.0,1679.61,26.09,55.77,20.0,10.0,30.0,10.0,43.09,30.0,40.97
Rice,124.5,20.23,384.43,6.56,30.3,1315.25,29.76,83.56,45.48,18.54,30.0,10.0,74.89,150.0,61.13
Groundnut,177.7,38.35,113.69,6.04,21.97,1945.91,28.94,50.0,20.0,10.0,34.3,14.33,20.0,82.01,20.0
Soybean,97.3,27.05,100.0,5.92,24.84,640.67,31.0,119.67,81.89,34.72,61.75,27.46,97.16,150.0,88.27
Soybean,235.5,56.64,241.03,6.24,29.03,663.78,29.9,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,132.4,23.41,194.97,6.12,21.16,1328.26,26.27,106.39,57.12,18.73,30.0,10.0,95.7,150.0,84.98
Groundnut,187.33,33.56,140.79,5.63,10.55,1829.26,27.97,50.0,30.65,19.98,45.98,19.78,20.0,150.0,20.0
Groundnut,241.84,49.23,399.0,6.65,38.16,123.39,24.03,50.0,24.93,15.98,30.0,10.0,20.0,131.33,20.0
Wheat,81.0,29.84,270.01,6.81,10.0,1709.57,20.08,138.2,23.7,10.0,30.0,10.0,100.0,88.12,100.0
Maize,186.77,28.79,144.12,6.63,12.51,1687.41,23.7,105.31,28.64,18.1,30.0,10.0,95.11,150.0,88.56
Rice,292.94,34.81,207.74,6.09,16.71,1693.24,29.22,50.0,29.4,11.22,30.0,10.0,20.0,127.05,20.0
Rice,219.88,49.95,283.67,6.48,39.9,1772.6,29.23,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,265.94,32.77,273.17,5.86,33.51,1143.71,15.58,50.0,28.46,10.0,30.0,10.0,20.0,73.54,20.0
Cotton,161.84,61.28,280.75,7.27,25.76,1196.83,27.59,83.77,20.0,10.0,30.0,10.0,73.48,30.0,66.32
Cotton,177.0,22.32,103.27,5.97,12.73,158.5,34.89,200.0,87.68,47.41,100.0,50.0,100.0,150.0,100.0
Groundnut,349.0,55.67,399.0,6.94,16.27,1501.95,34.48,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,192.68,21.46,183.73,5.54,10.36,1143.35,21.32,90.05,64.62,28.27,30.0,10.0,58.04,150.0,56.96
Barley,266.15,30.67,150.2,6.06,12.95,141.85,20.83,50.0,49.04,17.81,30.0,10.0,20.0,150.0,20.0
Wheat,211.39,12.88,243.83,6.21,20.11,1662.82,22.54,80.75,55.42,19.59,30.0,10.0,53.84,150.0,55.52
Wheat,183.98,37.56,170.07,6.78,39.18,1458.57,22.93,76.39,20.0,10.0,30.0,10.0,59.68,30.0,64.94
Wheat,236.56,70.0,277.15,7.95,14.83,1405.34,21.94,72.56,20.0,10.0,30.0,10.0,52.39,30.0,53.09
Soybean,304.7,14.18,270.42,7.94,29.26,922.19,24.58,50.0,58.87,27.22,30.0,10.0,20.0,150.0,20.0
Barley,220.39,43.06,176.59,6.69,23.49,168.28,20.84,61.96,20.0,10.0,30.0,10.0,55.37,30.0,55.87
Sorghum,83.97,32.75,201.2,5.83,16.48,885.92,32.92,121.82,20.0,10.0,30.0,10.0,100.0,74.16,93.15
Cotton,129.33,20.87,111.56,7.26,19.63,245.13,25.83,200.0,82.69,31.94,95.64,49.55,100.0,150.0,100.0
Cotton,280.0,70.0,399.0,5.84,38.25,1588.08,29.8,50.0,20.0,10.0,30.0,10.0,23.48,30.0,24.68
Sorghum,287.81,59.91,268.45,7.49,16.85,1929.26,23.18,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Soybean,215.53,52.73,307.37,6.37,22.86,1123.74,20.61,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Wheat,272.41,69.01,377.49,6.73,21.26,971.34,24.87,56.84,20.0,10.0,30.0,10.0,52.69,30.0,47.2
Cotton,296.31,47.43,315.47,6.77,12.81,930.29,27.94,50.0,20.0,10.0,30.0,10.0,38.59,30.0,32.25
Sorghum,142.61,45.5,232.83,6.65,17.11,1245.82,30.02,64.34,20.0,10.0,30.0,10.0,53.0,30.0,58.55
Maize,230.82,52.23,155.88,6.29,30.27,1847.11,32.93,54.63,20.0,10.0,30.0,10.0,59.65,41.6,49.12
Cotton,199.7,31.44,283.35,7.33,34.87,1951.31,24.5,60.85,21.13,10.0,30.0,10.0,42.09,93.85,53.88
Soybean,242.14,24.25,164.73,7.32,27.64,1795.86,24.19,50.0,39.03,10.0,30.0,10.0,20.0,150.0,20.0
Cotton,124.86,22.17,218.31,6.19,10.0,1670.82,20.23,142.37,50.22,23.74,30.0,10.0,100.0,150.0,100.0
Soybean,81.0,28.0,154.05,5.58,18.81,529.64,20.74,134.04,82.36,41.74,35.21,13.6,100.0,150.0,100.0
Rice,154.84,35.48,399.0,7.71,39.9,1533.07,26.93,68.16,22.65,10.0,30.0,10.0,49.67,92.68,50.22
Maize,124.36,53.56,173.79,5.69,12.87,1583.39,24.38,195.68,20.0,10.0,30.0,10.3,100.0,55.48,100.0
Soybean,188.52,42.9,161.17,6.92,13.44,822.98,21.63,50.0,28.64,10.0,30.0,10.0,20.0,130.49,20.0
Rice,158.2,28.62,115.59,6.22,10.0,1926.88,33.16,75.74,37.78,19.36,30.0,10.0,61.59,150.0,59.15
Groundnut,349.0,70.0,374.92,6.87,17.41,455.14,23.2,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Rice,196.85,51.13,199.74,5.9,16.97,1894.45,26.48,50.0,20.0,10.0,30.0,10.0,33.56,30.0,24.84
Wheat,81.0,29.61,235.88,5.65,19.03,1960.02,24.81,122.36,20.0,10.0,30.0,10.0,100.0,97.1,95.89
Wheat,242.98,14.62,122.68,7.42,15.13,274.93,20.69,141.15,92.84,41.88,47.91,15.05,100.0,150.0,95.2
Soybean,130.31,21.22,399.0,7.6,39.9,485.0,28.46,65.29,82.77,33.33,30.0,10.0,51.93,150.0,45.02
Cotton,271.32,57.08,189.06,6.93,34.42,1511.37,27.8,50.0,20.0,10.0,30.0,11.07,21.88,30.0,32.27
Soybean,210.67,10.4,224.07,5.54,11.17,130.05,20.77,50.0,100.0,50.0,30.0,10.0,20.0,150.0,20.0
Wheat,255.89,29.7,399.0,7.1,26.42,581.38,24.19,78.88,20.0,10.0,30.0,10.0,67.0,112.25,63.41
Wheat,324.57,39.22,302.59,7.47,39.9,221.61,25.25,50.0,20.0,10.0,30.0,10.0,38.86,38.02,33.88
Groundnut,190.37,65.44,133.56,6.68,26.88,1890.81,27.42,50.0,20.0,10.0,30.0,19.43,20.0,30.0,20.0
Wheat,179.42,68.07,399.0,6.36,28.47,1060.7,29.05,125.77,20.0,10.0,30.0,10.0,100.0,30.0,94.22
Maize,81.0,22.21,142.65,6.12,15.2,831.13,22.4,200.0,100.0,50.0,61.61,23.82,100.0,150.0,100.0
Groundnut,318.05,17.29,290.39,6.79,12.2,502.6,26.11,50.0,100.0,50.0,30.0,10.0,20.0,150.0,20.0
Rice,158.23,41.43,186.39,5.76,12.0,882.72,28.53,162.49,42.38,14.59,30.0,10.0,100.0,150.0,100.0
Sorghum,315.15,53.27,381.68,7.42,39.9,1261.54,35.0,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Barley,331.95,63.63,282.36,6.37,39.9,957.46,18.52,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Cotton,193.21,62.01,188.11,6.67,28.57,539.94,31.43,151.03,20.0,10.0,48.88,27.85,100.0,30.0,100.0
Maize,349.0,36.03,399.0,7.76,22.05,1300.78,18.86,50.0,46.68,20.24,30.0,10.0,39.46,150.0,36.83
Maize,112.75,57.08,259.99,7.34,23.59,1234.6,26.54,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Maize,151.83,37.27,399.0,6.66,21.58,246.25,29.66,200.0,57.21,29.56,30.0,10.0,100.0,150.0,100.0
Groundnut,155.93,47.64,143.36,5.92,21.34,1665.16,25.99,50.0,20.0,10.0,48.53,24.46,20.0,78.41,20.0
Barley,165.09,12.62,399.0,6.21,36.87,174.06,23.84,118.83,96.57,42.39,30.0,10.0,99.94,150.0,82.65
Barley,349.0,32.56,399.0,7.71,37.17,1995.49,15.67,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Groundnut,270.66,28.54,139.79,6.67,10.0,1882.99,27.15,50.0,26.06,15.37,31.97,18.8,20.0,150.0,20.0
Barley,349.0,33.57,335.79,6.82,39.9,1964.12,21.5,50.0,20.0,10.0,30.0,10.0,20.0,30.0,20.0
Sorghum,275.6,13.93,337.27,7.46,12.52,1153.91,32.48,50.0,50.93,15.74,30.0,10.0,20.0,150.0,20.0
Groundnut,180.11,30.7,116.89,6.77,13.18,1850.48,28.83,50.0,41.6,13.52,45.09,23.95,20.0,150.0,20.0
Sorghum,349.0,23.98,399.0,6.93,39.9,1994.75,27.83,50.0,20.0,10.0,30.0,10.0,20.0,58.04,20.0
Wheat,106.58,34.65,100.0,7.4,10.0,933.07,22.3,200.0,20.0,10.0,51.41,18.13,100.0,106.51,100.0
Groundnut,216.49,18.64,287.2,6.27,29.56,256.32,30.36,50.0,100.0,50.0,30.0,12.75,20.0,150.0,20.0
Barley,164.75,42.28,352.03,7.48,39.9,805.79,18.65,104.31,20.0,10.0,30.0,10.0,83.83,30.0,77.51
Sorghum,163.51,36.75,296.79,7.31,24.87,1069.28,32.36,72.56,20.0,10.0,30.0,10.0,56.17,30.0,48.8
Barley,166.86,23.07,399.0,6.93,39.9,1942.86,22.78,50.0,20.0,10.0,30.0,10.0,20.0,82.2,24.54
Groundnut,103.75,32.96,153.95,6.38,23.44,1284.61,31.9,50.0,52.26,21.99,57.82,24.56,20.0,150.0,20.0
Maize,173.16,70.0,312.55,7.2,39.9,393.54,27.36,200.0,20.0,10.0,30.0,10.0,100.0,30.0,100.0
Rice,183.04,11.71,100.0,6.74,14.81,1694.44,22.15,66.08,69.06,29.78,30.0,10.0,61.38,150.0,47.28
Barley,339.25,19.28,399.0,6.86,31.53,1174.98,21.86,50.0,33.09,19.6,30.0,10.0,20.0,150.0,20.0
Cotton,179.49,17.23,113.22,6.43,15.11,1062.03,25.5,130.64,76.07,38.04,71.06,27.73,100.0,150.0,100.0
Cotton,349.0,16.87,399.0,7.31,39.9,1884.09,26.53,50.0,25.56,14.65,30.0,10.0,20.0,146.61,20.0
Maize,324.29,48.85,181.91,6.1,15.06,318.11,26.47,121.41,37.75,12.24,35.05,17.03,100.0,150.0,94.42
Cotton,139.17,43.03,229.24,6.41,19.38,1662.74,23.73,93.25,20.0,10.0,30.0,10.0,84.81,33.56,89.95
Wheat,81.0,18.46,100.0,6.37,10.0,1758.74,24.45,149.05,48.34,19.7,30.31,13.24,100.0,150.0,100.0
Soybean,123.26,70.0,189.07,5.91,28.82,1503.85,20.32,50.0,20.0,10.0,30.0,10.0,29.72,30.0,24.5
Cotton,188.16,20.79,317.46,6.78,13.57,1408.65,34.08,100.53,52.68,23.4,30.0,10.0,89.94,150.0,86.9
Soybean,167.68,36.15,399.0,7.74,22.4,972.34,20.73,50.0,28.87,10.25,30.0,10.0,20.0,137.2,20.0
Wheat,191.09,11.29,135.18,5.67,20.44,1883.12,25.98,79.8,40.93,12.94,30.0,10.0,72.85,150.0,71.84
Maize,139.94,44.0,155.7,6.31,10.0,512.22,20.59,200.0,56.36,25.1,49.49,24.72,100.0,150.0,100.0
Wheat,278.32,43.31,231.16,6.49,23.45,1109.46,23.77,75.01,20.0,10.0,30.0,10.0,60.05,30.0,55.21
Cotton,307.94,39.04,254.23,6.32,32.63,717.9,24.63,50.0,20.0,11.63,30.0,10.0,26.22,87.54,24.57
Sorghum,137.46,22.62,100.0,5.6,17.57,897.71,26.97,103.9,39.05,23.78,30.0,17.1,94.37,150.0,78.74
